"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-12-27 20:51:18 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
1997,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",5
1997,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",2237
1997,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",3
1997,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",224
1997,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",205
1997,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",38
1997,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",6046
1997,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",1085
1997,Cuba,Afghanistan,"Refugees (incl. refugee-like situations)",5
1997,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",1
1997,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",151
1997,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",1255
1997,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",16
1997,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",45
1997,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",80
1997,France,Afghanistan,"Refugees (incl. refugee-like situations)",1236
1997,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",1915
1997,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",1
1997,"China, Hong Kong SAR",Afghanistan,"Refugees (incl. refugee-like situations)",6
1997,India,Afghanistan,"Refugees (incl. refugee-like situations)",17456
1997,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1411759
1997,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",44
1997,Japan,Afghanistan,"Refugees (incl. refugee-like situations)",1
1997,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",1648
1997,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",162
1997,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",21
1997,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",550
1997,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",1
1997,Lithuania,Afghanistan,"Refugees (incl. refugee-like situations)",1
1997,Mexico,Afghanistan,"Refugees (incl. refugee-like situations)",7
1997,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",55
1997,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",12003
1997,Norway,Afghanistan,"Refugees (incl. refugee-like situations)",63
1997,Nepal,Afghanistan,"Refugees (incl. refugee-like situations)",3
1997,"New Zealand",Afghanistan,"Refugees (incl. refugee-like situations)",5
1997,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1200000
1997,Philippines,Afghanistan,"Refugees (incl. refugee-like situations)",6
1997,Poland,Afghanistan,"Refugees (incl. refugee-like situations)",36
1997,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",43
1997,"Russian Federation",Afghanistan,"Refugees (incl. refugee-like situations)",234
1997,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",151
1997,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",3
1997,Slovakia,Afghanistan,"Refugees (incl. refugee-like situations)",129
1997,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",1320
1997,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",6
1997,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",28
1997,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",2164
1997,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",5450
1997,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",15
